study_hours,attendance_rate,sleep_hours,assignments_score,internal_marks,internet,classroom_participation,status
8.5,95,7.5,88,82,Yes,4,Pass
4.2,72,6.0,52,45,No,2,Fail
6.0,85,7.0,75,68,Yes,3,Pass
3.5,60,5.5,45,40,Yes,1,Fail
9.0,98,8.0,94,90,Yes,5,Pass
5.5,80,6.5,70,62,No,3,Pass
2.0,50,5.0,30,25,No,1,Fail
7.8,90,7.2,82,75,Yes,4,Pass
6.5,88,7.0,78,70,Yes,4,Pass
4.8,75,6.8,58,52,Yes,2,Fail
10.0,100,7.5,96,95,Yes,5,Pass
5.0,78,6.0,65,58,No,2,Fail
3.0,65,6.5,42,38,No,2,Fail
8.2,92,7.0,86,80,Yes,4,Pass
6.8,85,7.5,74,66,Yes,3,Pass
2.5,55,5.0,35,30,Yes,1,Fail
7.0,89,6.8,80,72,Yes,4,Pass
5.8,82,7.0,71,64,No,3,Pass
3.8,70,6.0,48,42,No,2,Fail
9.5,97,7.8,92,88,Yes,5,Pass
6.2,86,7.1,76,70,Yes,3,Pass
4.5,73,6.2,56,50,No,2,Fail
2.2,52,5.5,32,28,Yes,1,Fail
8.0,94,7.2,84,78,Yes,4,Pass
6.4,84,6.8,72,65,No,3,Pass
3.2,62,5.8,40,36,No,2,Fail
7.5,91,7.0,80,74,Yes,4,Pass
5.2,76,6.5,62,55,Yes,3,Fail
1.8,48,6.0,28,22,No,1,Fail
8.8,96,7.5,90,84,Yes,5,Pass
